Studiengang;Veranstaltung;Dozent;Dozentenwahl
BScPsy1;Biopsychologische Grundlagen;Prof. Dr. Anja Lepach-Engelhardt;0
BScPsy1;Biologische Psychologie Vertiefung;Prof. Dr. Anja Lepach-Engelhardt;0
BScPsy1;Differentielle Psychologie - Theoretische Ansätze;Prof. Dr. Monika Fleischhauer;0
BScPsy1;Differentielle Psychologie - Vertiefung;Prof. Dr. Monika Fleischhauer;0
BScPsy2;Wirtschaftspolitik;Prof. Dr. Joachim Ahrens;0
BScPsy2;Statistik II - Testverfahren;Andreas Cordes;0
BScPsy2;Statistik II - Computergestützte Datenanalyse;Andreas Cordes;0
BScPsy2;Denken und Entscheiden;Prof. Dr. Dorit Wenke;0
BScPsy2;Angewandte Entscheidungspsychologie;Prof. Dr. Dorit Wenke;0
BScPsy2;Biologische Psychologie;Prof. Dr. Anja Lepach-Engelhardt-Engelhardt;0
BScPsy2;Differentielle Psychologie - Methoden und Intelligenz;Prof. Dr. Monika Fleischhauer;0
BScPsy2;Differentielle Psychologie - Vertiefung;Prof. Dr. Monika Fleischhauer;0
BScPsy2;Sozialpsychologie, Individuum und Soziale Welt;Prof. Dr. Frank Vogelgesang;0
BScPsy2;Sozialpsychologie, Vertiefung;Prof. Dr. Frank Vogelgesang;0
BScPsy2;Ökonomische Psychologie und Entscheidungen;Prof. Dr. Stephan Weibelzahl;0
BScPsy2;Alltagsverständnis von Ökonomie und Arbeitsmärkte;Prof. Dr. Stephan Weibelzahl;0
BScPsy2;Wirtschaftspsychologie - Vertiefung;Prof. Dr. Stephan Weibelzahl;0
BScPsy2;Ablauf einer empirischen Untersuchung, Techniken wissenschaftlichen Arbeitens;Prof. Dr. Dorit Wenke;0
BScPsy2;Moderation, Präsentation und Schreiben;Prof. Dr. Dorit Wenke, Karen Weiske;0
BScPsy2;Entwicklungspsychologie - kognitive, emotionale und soziale Entwicklung;Prof. Dr. Anja Lepach-Engelhardt-Engelhardt;0
BScPsy2;Entwicklungspsychologie - ausgewählte Bereiche der Entwicklung;Prof. Dr. Anja Lepach-Engelhardt-Engelhardt;0
BScPsy3;Sozialpsychologie Interaktion und Gruppe;Prof. Dr. Frank Vogelgesang;0
BScPsy3;Sozialpsychologische Vertiefung;Prof. Dr. Frank Vogelgesang;0
BScPsy3;Entwicklungspsychologie - kognitive Entwicklung, Motivation, Persönlichkeit und Selbst;Prof. Dr. Anja Lepach-Engelhardt-Engelhardt;0
BScPsy3;Entwicklungspsychologie - ausgewählte Bereiche der Entwicklung;Prof. Dr. Anja Lepach-Engelhardt-Engelhardt;0
BScPsy3;Differentielle Psychologie - Theoretische Ansätze;Prof. Dr. Monika Fleischhauer;0
BScPsy3;Differentielle Psychologie - Vertiefung;Prof. Dr. Monika Fleischhauer;0
BScPsy3;Grundlagen der Testtheorie;Christoph Ehrling;0
BScPsy3;Grundlagen der Psychologischen Diagnostik;Prof. Dr. Monika Fleischhauer;0
BScPsy3;Arbeitspsychologie;Prof. Dr. Frank Vogelgesang;0
BScPsy3;Arbeitspsychologie - Übung;Prof. Dr. Frank Vogelgesang;0
BScPsy3;Klinische Psychologie - Modelle und Grundlagen;Prof. Dr. Susanne Ruhland;0
BScPsy3;Klinische Psychologie - Diagnostik;Prof. Dr. Susanne Ruhland;0
BScPsy3;Einführung in die Themen der Pädagogsichen Psychologie;Prof. Dr. Anja Lepach-Engelhardt-Engelhardt;0
BScPsy3;Lernen und Lehren;Prof. Dr. Anja Lepach-Engelhardt-Engelhardt;0
BScPsy3;Einführung in die Gesundheitspsychologie;Prof. Dr. Michael Gutmann;0
BScPsy3;Konzepte von Gesundheit und Krankheit;Prof. Dr. Michael Gutmann;0
BScPsy3;Arbeitsrecht Fallbeispiele;Prof. Dr. Bernd Rohlfing;0
BScPsy3;Emotion und Motivation (nicht auswertbar);;0
BScPsy3;Emotion und Motivation - Vertiefung;Prof. Dr. Dorit Wenke;0
BScPsy3;Arbeitspsychologie;Prof. Dr. Frank Vogelgesang;0
BScPsy3;Arbeitspsychologie - Übung;Prof. Dr. Frank Vogelgesang;0
MAGM;Auditing/ Revision;Prof. Dr. Frank Beine / Prof. Dr. Andrejewski;0
