id;title
BScPsy1_7;Wahrnehmung und Sprache\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy1_8;Lernen und Gedächtnis\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy1_9;Biopsychologische Grundlagen\\ B.Sc. Psychologie
BScPsy1_10;Biologische Psychologie Vertiefung\\ B.Sc. Psychologie
BScPsy1_11;Differentielle Psychologie - Theoretische Ansätze\\ B.Sc. Psychologie
BScPsy1_12;Differentielle Psychologie - Vertiefung\\ B.Sc. Psychologie
BScPsy2_1;Wirtschaftspolitik\\ B.Sc. Wirtschaftspsychologie
BScPsy2_2;Statistik II - Testverfahren\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_3;Statistik II - Computergestützte Datenanalyse\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_4;Denken und Entscheiden Modul\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_5;Angewandte Entscheidungspsychologie\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_6;Biologische Psychologie Anwendungsgebiete\\ B.Sc. Psychologie
BScPsy2_7;Differentielle Psychologie - Methoden und Intelligenz\\ B.Sc. Psychologie
BScPsy2_8;Differentielle Psychologie - Vertiefung\\ B.Sc. Psychologie
BScPsy2_9;Individuum und Soziale Welt\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_10;Sozialpsychologie Vertiefung\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_11;Ökonomische Psychologie und Entscheidungen\\ B.Sc. Wirtschaftspsychologie
BScPsy2_12;Alltagsverständnis von Ökonomie und Arbeitsmärkte\\ B.Sc. Wirtschaftspsychologie
BScPsy2_13;Wirtschaftspsychologie -Vertiefung\\ B.Sc. Wirtschaftspsychologie
BScPsy2_14;Ablauf einer empirischen Untersuchung, Techniken wissenschaftlichen Arbeitens\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_15;Moderation, Präsentation und Schreiben\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy2_16;Entwicklungspsychologie - kognitive, emotionale und soziale Entwicklung\\ B.Sc. Psychologie
BScPsy2_17;Entwicklungspsychologie - ausgewählte Bereiche der Entwicklung\\ B.Sc. Psychologie
BScPsy3_1;Sozialpsychologie Interaktion und Gruppe\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy3_2;Sozialpsychologische Vertiefung\\ B.Sc. Psychologie / Wirtschaftspsychologie
BScPsy3_3;Entwicklungspsychologie - kognitive Entwicklung, Motivation, Persönlichkeit und Selbst\\ B.Sc. Psychologie
BScPsy3_4;Entwicklungspsychologie - ausgewählte Bereiche der Entwicklung\\ B.Sc. Psychologie
BScPsy3_5;Differentielle Psychologie - Theoretische Ansätze\\ B.Sc. Wirtschaftspsychologie
BScPsy3_6;Differentielle Psychologie - Vertiefung\\ B.Sc. Wirtschaftspsychologie
BScPsy3_7;Grundlagen der Testtheorie\\ B.Sc. Psychologie
BScPsy3_8;Grundlagen der Psychologischen Diagnostik\\ B.Sc. Psychologie
BScPsy3_9;Arbeitspsychologie\\ B.Sc. Psychologie
BScPsy3_10;Arbeitspsychologie - Übung\\ B.Sc. Psychologie
BScPsy3_11;Klinische Psychologie - Modelle und Grundlagen\\ B.Sc. Psychologie
BScPsy3_12;Klinische Psychologie - Diagnostik\\ B.Sc. Psychologie
BScPsy3_13;Einführung in die Themen der Pädagogsichen Psychologie\\ B.Sc. Psychologie
BScPsy3_14;Lernen und Lehren\\ B.Sc. Psychologie
BScPsy3_15;Einführung in die Gesundheitspsychologie\\ B.Sc. Psychologie
BScPsy3_16;Konzepte von Gesundheit und Krankheit\\ B.Sc. Psychologie 
BScPsy3_17;Arbeitsrecht Fallbeispiele\\ B.Sc. Wirtschaftspsychologie
BScPsy3_18;Emotion und Motivation (nicht auswertbar)\\ B.Sc. Wirtschaftspsychologie
BScPsy3_19;Emotion und Motivation - Vertiefung\\ B.Sc. Wirtschaftspsychologie
BScPsy3_20;Arbeitspsychologie\\ B.Sc. Wirtschaftspsychologie
BScPsy3_21;Arbeitspsychologie - Übung\\ B.Sc. Wirtschaftspsychologie
